yaml_file,model_name,scale,task,nc,layers,parameters,gradients,gflops,error
v7/Pose/yolov7-C3C2-pose.yaml,yolov7-C3C2-pose,-,pose,80,249,41873001,41872985,48,
v8/Segment/yolov8-SPPCSPC-seg.yaml,yolov8-SPPCSPC-seg-s,s,segment,80,163,18249216,18249200,48,
damoyolo/Pose/DAMOyolo-m-pose.yaml,DAMOyolo-m-pose,-,pose,80,319,21200513,21200497,48.1,
v5/Segment/yolov5-mobileone-backbone-seg.yaml,yolov5-mobileone-backbone-seg-s,s,segment,80,476,13662368,13662352,48.2,
v7/OBB/yolov7-C3C2-GAMAttention-obb.yaml,yolov7-C3C2-GAMAttention-obb,-,obb,80,255,41955795,41955779,48.2,
v11/Detect/yolov11-Conv2Former.yaml,yolov11-Conv2Former-s,s,detect,80,303,18700896,18700880,48.3,
v11/Detect/yolov11-MambaOut.yaml,yolov11-MambaOut-m,m,detect,80,275,18377368,18377352,48.3,
v7/Pose/yolov7-C3C2-GAMAttention-pose.yaml,yolov7-C3C2-GAMAttention-pose,-,pose,80,255,41965545,41965529,48.3,
v8/Pose/yolov8-SKAttention-pose.yaml,yolov8-SKAttention-pose-s,s,pose,80,163,33766859,33766843,48.3,
v8/Detect/yolov8-DiT-C2f-UIB-FMDI.yaml,yolov8-DiT-C2f-UIB-FMDI-s,s,detect,80,243,21639520,21639504,48.5,
v11/Detect/yolov11-RMT.yaml,yolov11-RMT-s,s,detect,80,323,18326432,18326416,48.6,
v6/Pose/yolov6-3.0-pose-p6.yaml,yolov6-3.0-pose-p6-s,s,pose,80,193,27187540,27187524,48.6,
v7/Segment/u6/yolov7-seg-u6.yaml,yolov7-seg-u6-s,s,segment,80,269,11933152,11933136,48.6,
Master/v0_1/Segment/yolo-master-seg-l.yaml,yolo-master-seg-l-s,s,segment,80,488,29695192,29695176,48.7,
Master/v0_1/Segment/yolo-master-seg-m.yaml,yolo-master-seg-m-s,s,segment,80,488,29695192,29695176,48.7,
Master/v0_1/Segment/yolo-master-seg-n.yaml,yolo-master-seg-n-s,s,segment,80,488,29695192,29695176,48.7,
Master/v0_1/Segment/yolo-master-seg-s.yaml,yolo-master-seg-s-s,s,segment,80,488,29695192,29695176,48.7,
Master/v0_1/Segment/yolo-master-seg-x.yaml,yolo-master-seg-x-s,s,segment,80,488,29695192,29695176,48.7,
Master/v0_1/Segment/yolo-master-seg.yaml,yolo-master-seg-s,s,segment,80,488,29695192,29695176,48.7,
v11/Detect/yolov11-FAT.yaml,yolov11-FAT-l,l,detect,80,451,18494040,18494024,48.9,
v11/Detect/yolov11-MobileNetv1.yaml,yolov11-MobileNetv1-l,l,detect,80,299,18721408,18721392,49,
v4/Segment/yolov4-mish-seg.yaml,yolov4-mish-seg-s,s,segment,80,220,13749136,13749120,49,
v6/Detect/yolov6-3.0-p7.yaml,yolov6-3.0-p7-s,s,detect,80,216,44620736,44620720,49,
PicoDet/Segment/PicoDet-t-seg.yaml,PicoDet-t-seg,-,segment,80,383,1578048,1578032,49.1,
v6/OBB/yolov6-3.0-obb-p7.yaml,yolov6-3.0-obb-p7-s,s,obb,80,241,44770901,44770885,49.2,
v8/Detect/yolov8-RepNCSPELAN.yaml,yolov8-RepNCSPELAN-m,m,detect,80,347,18437296,18437280,49.2,
HEYDet/Segment/HEYDet-s-seg.yaml,HEYDet-s-seg-s,s,segment,80,695,16702112,16702096,49.3,
v7/Detect/yolov7-MobileOne.yaml,yolov7-MobileOne,-,detect,80,310,53510288,53510272,49.5,
v10/Detect/yolov10n-Light-HGNet-x.yaml,yolov10n-Light-HGNet-x-n,n,detect,80,281,20869712,20869696,49.6,
v11/Detect/yolov11-PKINet.yaml,yolov11-PKINet-m,m,detect,80,2731,14895264,14895248,49.7,
RTMDet/Detect/RTMDet-m.yaml,RTMDet-m,-,detect,80,224,18177928,18177912,49.8,
v11/Classify/yolov11-cls.yaml,yolov11-cls-l,l,classify,80,176,12937104,12937104,49.9,
v11/Detect/yolov11-MALA.yaml,yolov11-MALA-s,s,detect,80,294,20546024,20546008,49.9,
v11/Detect/yolov11-MogaNet.yaml,yolov11-MogaNet-l,l,detect,80,613,16645818,16645802,49.9,
v11/Detect/yolov11-RAVLT.yaml,yolov11-RAVLT-s,s,detect,80,294,20546024,20546008,49.9,
v6/Pose/yolov6-3.0-pose-p7.yaml,yolov6-3.0-pose-p7-s,s,pose,80,241,45192701,45192685,50.1,
Leyolo/Segment/Leyolo-n-seg.yaml,Leyolo-n-seg-n,n,segment,80,264,2638144,2638128,50.4,
v11/OBB/yolov11-DecoupleNet-obb.yaml,yolov11-DecoupleNet-obb-m,m,obb,80,482,20187347,20187331,50.4,
v8/Detect/yolov8-C2f-FasterBlock.yaml,yolov8-C2f-FasterBlock-m,m,detect,80,211,16676560,16676544,50.4,
v8/Detect/yolov8-C2f-RVB.yaml,yolov8-C2f-RVB-m,m,detect,80,350,16505392,16505376,50.4,
v7/OBB/yolov7-MobileOne-obb.yaml,yolov7-MobileOne-obb,-,obb,80,325,54654035,54654019,50.5,
v7/Pose/yolov7-MobileOne-pose.yaml,yolov7-MobileOne-pose,-,pose,80,325,54663785,54663769,50.5,
