yaml_file,model_name,scale,task,nc,layers,parameters,gradients,gflops,error
v5/Classify/yolov5-PPLCNet-cls.yaml,yolov5-PPLCNet-cls-n,n,classify,80,76,1213720,1213720,1.2,
11/yolo11_custom.yaml,yolo11_custom-n,n,detect,80,138,444878,444862,1.8,
11/yolo_custom.yaml,yolo_custom-n,n,detect,7,182,767201,767185,2.1,
11/yolo11_custom.yaml,yolo11_custom-s,s,detect,80,138,767064,767048,2.4,
v5/Detect/yolov5-Lite-e.yaml,yolov5-Lite-e-n,n,detect,80,141,454592,454576,2.5,
v5/Detect/yolov5-Lite-s.yaml,yolov5-Lite-s-n,n,detect,80,161,542480,542464,2.5,
v5/OBB/yolov5-Lite-e-obb.yaml,yolov5-Lite-e-obb-n,n,obb,80,156,459545,459529,2.5,
v5/OBB/yolov5-Lite-s-obb.yaml,yolov5-Lite-s-obb-n,n,obb,80,176,547007,546991,2.5,
11/yolo11p.yaml,yolo11p-p,p,detect,80,182,858832,858816,2.6,
v8/Detect/yolov8-ODConvNext.yaml,yolov8-ODConvNext-n,n,detect,1,129,899990,899974,2.8,
v5/Detect/yolov5-Lite-s.yaml,yolov5-Lite-s-t,t,detect,80,161,704972,704956,3,
v5/OBB/yolov5-Lite-s-obb.yaml,yolov5-Lite-s-obb-t,t,obb,80,176,715109,715093,3,
v11/Pose/yolov11-MobileOne-BiFPN-Lite-g-ipose.yaml,yolov11-MobileOne-BiFPN-Lite-g-ipose-n,n,pose,80,290,723615,723599,3.1,
v11/Pose/yolov11-MobileOne-BiFPN-Lite-g-pose.yaml,yolov11-MobileOne-BiFPN-Lite-g-pose-n,n,pose,80,278,722991,722975,3.1,
v5/Detect/yolov5-Lite-e.yaml,yolov5-Lite-e-t,t,detect,80,141,563940,563924,3.1,
v5/OBB/yolov5-Lite-e-obb.yaml,yolov5-Lite-e-obb-t,t,obb,80,156,577593,577577,3.1,
v5/Pose/yolov5-Lite-e-pose.yaml,yolov5-Lite-e-pose-n,n,pose,80,156,566435,566419,3.1,
v5/Pose/yolov5-Lite-s-pose.yaml,yolov5-Lite-s-pose-n,n,pose,80,176,672683,672667,3.1,
v5/Classify/yolov5-AIFI-cls.yaml,yolov5-AIFI-cls-n,n,classify,80,79,1513520,1513520,3.2,
v5/Classify/yolov5-cls.yaml,yolov5-cls-n,n,classify,80,74,1479088,1479088,3.2,
v5/Detect/yolov5-Shufflenetv2.yaml,yolov5-Shufflenetv2-n,n,detect,80,161,820224,820208,3.2,
v11/Classify/yolov11-cls.yaml,yolov11-cls-n,n,classify,80,86,1633584,1633584,3.3,
v5/OBB/yolov5-Shufflenetv2-obb.yaml,yolov5-Shufflenetv2-obb-n,n,obb,80,176,838203,838187,3.3,
v5/Detect/yolov5-Lite-c.yaml,yolov5-Lite-c-n,n,detect,80,226,902760,902744,3.4,
v5/Detect/yolov5-Lite-e.yaml,yolov5-Lite-e-s,s,detect,80,141,653940,653924,3.4,
v5/OBB/yolov5-Lite-c-obb.yaml,yolov5-Lite-c-obb-n,n,obb,80,241,920739,920723,3.4,
v8/Detect/yolov8-Shufflenetv2.yaml,yolov8-Shufflenetv2-n,n,detect,80,149,889152,889136,3.4,
v8/OBB/yolov8-Shufflenetv2-obb.yaml,yolov8-Shufflenetv2-obb-n,n,obb,80,164,907131,907115,3.4,
v5/Classify/yolov5-PPLCNet-cls.yaml,yolov5-PPLCNet-cls-s,s,classify,80,76,3853728,3853728,3.5,
v5/Detect/yolov5-Lite-s.yaml,yolov5-Lite-s-s,s,detect,80,161,905580,905564,3.5,
v5/Detect/yolov5-MobileOne-Lite-g.yaml,yolov5-MobileOne-Lite-g-n,n,detect,80,218,740432,740416,3.5,
v5/OBB/yolov5-Lite-e-obb.yaml,yolov5-Lite-e-obb-s,s,obb,80,156,673563,673547,3.5,
v8/Detect/yolov8-Lite-c.yaml,yolov8-Lite-c-n,n,detect,80,214,971688,971672,3.5,
v5/Classify/yolov5-p6.yaml,yolov5-p6-n,n,classify,80,86,2015152,2015152,3.6,
v5/OBB/yolov5-Lite-s-obb.yaml,yolov5-Lite-s-obb-s,s,obb,80,176,923559,923543,3.6,
v7/Detect/u6/yolov7-C3C2-CPCA-u6.yaml,yolov7-C3C2-CPCA-u6-n,n,detect,80,225,2970296,2970280,3.6,
v7/Detect/u6/yolov7-C3C2-CrissCrossAttention-u6.yaml,yolov7-C3C2-CrissCrossAttention-u6-n,n,detect,80,227,2969505,2969489,3.6,
v7/Detect/u6/yolov7-C3C2-GAMAttention-u6.yaml,yolov7-C3C2-GAMAttention-u6-n,n,detect,80,231,2975128,2975112,3.6,
v7/Detect/u6/yolov7-C3C2-SegNextAttention-u6.yaml,yolov7-C3C2-SegNextAttention-u6-n,n,detect,80,231,2972760,2972744,3.6,
v7/Detect/u6/yolov7-C3C2-u6.yaml,yolov7-C3C2-u6-n,n,detect,80,225,2969272,2969256,3.6,
v8/Classify/yolov8-cls-p2.yaml,yolov8-cls-p2-n,n,classify,80,62,1705376,1705376,3.6,
v8/OBB/yolov8-Lite-c-obb.yaml,yolov8-Lite-c-obb-n,n,obb,80,229,989667,989651,3.6,
12/yolo12-cls.yaml,yolo12-cls-n,n,classify,80,176,1802544,1802544,3.7,
v12/Classify/yolov12-cls.yaml,yolov12-cls-n,n,classify,80,176,1802544,1802544,3.7,
v5/Pose/yolov5-Lite-s-pose.yaml,yolov5-Lite-s-pose-t,t,pose,80,176,860879,860863,3.7,
v7/OBB/u6/yolov7-C3C2-CPCA-obb-u6.yaml,yolov7-C3C2-CPCA-obb-u6-n,n,obb,80,240,3041963,3041947,3.7,
v7/OBB/u6/yolov7-C3C2-CrissCrossAttention-obb-u6.yaml,yolov7-C3C2-CrissCrossAttention-obb-u6-n,n,obb,80,242,3041172,3041156,3.7,
v7/OBB/u6/yolov7-C3C2-GAMAttention-obb-u6.yaml,yolov7-C3C2-GAMAttention-obb-u6-n,n,obb,80,246,3046795,3046779,3.7,
v7/OBB/u6/yolov7-C3C2-SegNextAttention-obb-u6.yaml,yolov7-C3C2-SegNextAttention-obb-u6-n,n,obb,80,246,3044427,3044411,3.7,
v7/OBB/u6/yolov7-C3C2-obb-u6.yaml,yolov7-C3C2-obb-u6-n,n,obb,80,240,3040939,3040923,3.7,
v11/Detect/yolov11-EfficientNetV1.yaml,yolov11-EfficientNetV1-n,n,detect,80,198,3544960,3544944,3.8,
v5/Detect/yolov5-ODConvNext.yaml,yolov5-ODConvNext-n,n,detect,80,147,1048739,1048723,3.8,
v5/Pose/yolov5-Lite-e-pose.yaml,yolov5-Lite-e-pose-t,t,pose,80,156,697815,697799,3.8,
v7/Detect/u6/yolov7-MobileOne-u6.yaml,yolov7-MobileOne-u6-n,n,detect,80,301,3807672,3807656,3.8,
v7/OBB/u6/yolov7-MobileOne-obb-u6.yaml,yolov7-MobileOne-obb-u6-n,n,obb,80,316,3879339,3879323,3.9,
v7/Pose/u6/yolov7-C3C2-CPCA-pose-u6.yaml,yolov7-C3C2-CPCA-pose-u6-n,n,pose,80,240,3254723,3254707,3.9,
v7/Pose/u6/yolov7-C3C2-CrissCrossAttention-pose-u6.yaml,yolov7-C3C2-CrissCrossAttention-pose-u6-n,n,pose,80,242,3253932,3253916,3.9,
v7/Pose/u6/yolov7-C3C2-GAMAttention-pose-u6.yaml,yolov7-C3C2-GAMAttention-pose-u6-n,n,pose,80,246,3259555,3259539,3.9,
v7/Pose/u6/yolov7-C3C2-SegNextAttention-pose-u6.yaml,yolov7-C3C2-SegNextAttention-pose-u6-n,n,pose,80,246,3257187,3257171,3.9,
v7/Pose/u6/yolov7-C3C2-pose-u6.yaml,yolov7-C3C2-pose-u6-n,n,pose,80,240,3253699,3253683,3.9,
v8/Classify/yolov8-AIFI-cls.yaml,yolov8-AIFI-cls-n,n,classify,80,65,2330528,2330528,3.9,
v7/Pose/u6/yolov7-MobileOne-pose-u6.yaml,yolov7-MobileOne-pose-u6-n,n,pose,80,316,4092099,4092083,4.1,
v8/Classify/yolov8-cls-p6.yaml,yolov8-cls-p6-n,n,classify,80,72,2333600,2333600,4.1,
v5/Pose/yolov5-Lite-c-pose.yaml,yolov5-Lite-c-pose-n,n,pose,80,241,1084371,1084355,4.2,
v5/Pose/yolov5-Lite-e-pose.yaml,yolov5-Lite-e-pose-s,s,pose,80,156,798831,798815,4.2,
11/yolo11-cls.yaml,yolo11-cls-n,n,classify,1000,86,2812104,2812104,4.3,
26/Classtify/yolo26-cls.yaml,yolo26-cls-n,n,classify,1000,86,2812104,2812104,4.3,
26/yolo26-cls.yaml,yolo26-cls-n,n,classify,1000,86,2812104,2812104,4.3,
v11/Detect/yolov11-ShuffleNetv2.yaml,yolov11-ShuffleNetv2-n,n,detect,80,267,1744432,1744416,4.3,
v5/Detect/yolov5-Shufflenetv2.yaml,yolov5-Shufflenetv2-t,t,detect,80,161,1226144,1226128,4.3,
v5/Pose/yolov5-Lite-s-pose.yaml,yolov5-Lite-s-pose-s,s,pose,80,176,1087191,1087175,4.3,
v8/Pose/yolov8-Lite-c-pose.yaml,yolov8-Lite-c-pose-n,n,pose,80,229,1153299,1153283,4.3,
v5/OBB/yolov5-Shufflenetv2-obb.yaml,yolov5-Shufflenetv2-obb-t,t,obb,80,176,1266503,1266487,4.4,
v8/Classify/yolov8-cls.yaml,yolov8-cls-n,n,classify,1000,56,2719288,2719288,4.4,
v8/yolov8-cls.yaml,yolov8-cls-n,n,classify,1000,56,2719288,2719288,4.4,
v11/Pose/yolov11-ShuffleNetV2-pose.yaml,yolov11-ShuffleNetV2-pose-n,n,pose,80,222,1498091,1498075,4.5,
v5/Detect/yolov5-Lite-c.yaml,yolov5-Lite-c-t,t,detect,80,226,1394684,1394668,4.6,
v7/Segment/u6/yolov7-C3C2-CPCA-seg-u6.yaml,yolov7-C3C2-CPCA-seg-u6-n,n,segment,80,247,3223064,3223048,4.6,
v7/Segment/u6/yolov7-C3C2-CrissCrossAttention-seg-u6.yaml,yolov7-C3C2-CrissCrossAttention-seg-u6-n,n,segment,80,249,3222273,3222257,4.6,
v7/Segment/u6/yolov7-C3C2-GAMAttention-seg-u6.yaml,yolov7-C3C2-GAMAttention-seg-u6-n,n,segment,80,253,3227896,3227880,4.6,
v7/Segment/u6/yolov7-C3C2-SegNextAttention-seg-u6.yaml,yolov7-C3C2-SegNextAttention-seg-u6-n,n,segment,80,253,3225528,3225512,4.6,
v7/Segment/u6/yolov7-C3C2-seg-u6.yaml,yolov7-C3C2-seg-u6-n,n,segment,80,247,3222040,3222024,4.6,
v8/Detect/yolov8-Shufflenetv2.yaml,yolov8-Shufflenetv2-t,t,detect,80,149,1381376,1381360,4.6,
v4/Classify/yolov4-csp-cls.yaml,yolov4-csp-cls-n,n,classify,80,86,1605096,1605096,4.7,
v4/Classify/yolov4-mish-cls.yaml,yolov4-mish-cls-n,n,classify,80,86,1605096,1605096,4.7,
v5/Detect/yolov5-Lite-e.yaml,yolov5-Lite-e-m,m,detect,80,173,973444,973428,4.7,
v5/OBB/yolov5-Lite-c-obb.yaml,yolov5-Lite-c-obb-t,t,obb,80,241,1435043,1435027,4.7,
v11/Detect/yolov11-EfficientNet.yaml,yolov11-EfficientNet-n,n,detect,80,214,1635148,1635132,4.8,
v7/Segment/u6/yolov7-MobileOne-seg-u6.yaml,yolov7-MobileOne-seg-u6-n,n,segment,80,323,4060440,4060424,4.8,
v8/OBB/yolov8-Shufflenetv2-obb.yaml,yolov8-Shufflenetv2-obb-t,t,obb,80,164,1421735,1421719,4.8,
v11/Pose/yolov11-SHViT-CCFM-pose.yaml,yolov11-SHViT-CCFM-pose-n,n,pose,80,343,7472819,7472803,4.9,
v8/Detect/yolov8-Lite-c.yaml,yolov8-Lite-c-t,t,detect,80,214,1549916,1549900,4.9,
Leyolo/Detect/Leyolo-n.yaml,Leyolo-n-n,n,detect,80,242,1616416,1616400,5,
v11/Detect/yolov11-OREPA.yaml,yolov11-OREPA-n,n,detect,80,177,4208528,4208512,5,
v5/OBB/yolov5-Lite-e-obb.yaml,yolov5-Lite-e-obb-m,m,obb,80,188,1017457,1017441,5,
Leyolo/OBB/Leyolo-n-obb.yaml,Leyolo-n-obb-n,n,obb,80,257,1632091,1632075,5.1,
v5/Detect/yolov5-Lite-s.yaml,yolov5-Lite-s-m,m,detect,80,201,1529676,1529660,5.1,
v5/Detect/yolov5-MobileOne-Lite-g.yaml,yolov5-MobileOne-Lite-g-t,t,detect,80,218,1162608,1162592,5.1,
v8/OBB/yolov8-Lite-c-obb.yaml,yolov8-Lite-c-obb-t,t,obb,80,229,1590275,1590259,5.1,
11/yolo11_custom.yaml,yolo11_custom-m,m,detect,80,178,1776800,1776784,5.2,
11/yolo11_custom.yaml,yolo11_custom-l,l,detect,80,178,1776800,1776784,5.2,
11/yolo_custom.yaml,yolo_custom-s,s,detect,7,182,2416381,2416365,5.2,
v11/Detect/yolov11-StarNet.yaml,yolov11-StarNet-n,n,detect,80,185,1981840,1981824,5.2,
v5/OBB/yolov5-Lite-s-obb.yaml,yolov5-Lite-s-obb-m,m,obb,80,216,1570035,1570019,5.2,
v11/Detect/yolov11-C3k2-UIB-CCFM.yaml,yolov11-C3k2-UIB-CCFM-n,n,detect,80,222,1841664,1841648,5.3,
v11/Detect/yolov11-MobileNetv3.yaml,yolov11-MobileNetv3-n,n,detect,80,257,2874718,2874702,5.3,
v5/Detect/yolov5-ShuffleAttention.yaml,yolov5-ShuffleAttention-n,n,detect,80,157,2654912,2654896,5.4,
v5/Detect/yolov5-ODConvNext.yaml,yolov5-ODConvNext-t,t,detect,80,147,1742171,1742155,5.5,
v5/Detect/yolov5-Shufflenetv2.yaml,yolov5-Shufflenetv2-s,s,detect,80,161,1734016,1734000,5.5,
v5/Detect/yolov5-VanillaNet.yaml,yolov5-VanillaNet-n,n,detect,80,109,1697920,1697904,5.5,
v5/OBB/yolov5-ShuffleAttention-obb.yaml,yolov5-ShuffleAttention-obb-n,n,obb,80,172,2726579,2726563,5.5,
v5/Pose/yolov5-Lite-c-pose.yaml,yolov5-Lite-c-pose-t,t,pose,80,241,1627703,1627687,5.5,
v11/Detect/yolov11-CCFM-C2PSA-DAT.yaml,yolov11-CCFM-C2PSA-DAT-n,n,detect,80,194,1895824,1895808,5.6,
v11/Detect/yolov11-CCFM.yaml,yolov11-CCFM-n,n,detect,80,192,1868816,1868800,5.6,
v11/Detect/yolov11-EfficientNet-CCFM-v10Detect.yaml,yolov11-EfficientNet-CCFM-v10Detect-n,n,detect,80,268,1236492,1236476,5.6,
v11/Detect/yolov11-MultiOrderGatedAggregation-CCFM.yaml,yolov11-MultiOrderGatedAggregation-CCFM-n,n,detect,80,183,1898064,1898048,5.6,
v10/Detect/yolov10n-CCFM.yaml,yolov10n-CCFM-n,n,detect,80,190,1691296,1691280,5.7,
v11/Detect/yolov11-C2PSA_HV_LCA_DynamicTanh-CCFM.yaml,yolov11-C2PSA_HV_LCA_DynamicTanh-CCFM-n,n,detect,80,196,2029543,2029527,5.7,
v12/Detect/yolov12-CCFM.yaml,yolov12-CCFM-n,n,detect,80,306,1861168,1861152,5.7,
v12/Detect/yolov12-ShuffleAttention-CCFM.yaml,yolov12-ShuffleAttention-CCFM-n,n,detect,80,315,1861240,1861224,5.7,
v5/OBB/yolov5-Shufflenetv2-obb.yaml,yolov5-Shufflenetv2-obb-s,s,obb,80,176,1805683,1805667,5.7,
v5/Pose/yolov5-Lite-e-pose.yaml,yolov5-Lite-e-pose-m,m,pose,80,188,1151383,1151367,5.7,
v5/Pose/yolov5-ShuffleAttention-pose.yaml,yolov5-ShuffleAttention-pose-n,n,pose,80,172,2939339,2939323,5.7,
v5/Segment/yolov5-Lite-s-seg.yaml,yolov5-Lite-s-seg-n,n,segment,80,183,670832,670816,5.7,
Leyolo/Pose/Leyolo-n-pose.yaml,Leyolo-n-pose-n,n,pose,80,257,1783339,1783323,5.8,
v11/Detect/yolov11-C2PSA-DiT-CCFM.yaml,yolov11-C2PSA-DiT-CCFM-n,n,detect,80,197,2114320,2114304,5.8,
v3/Classify/yolov3-tiny-cls.yaml,yolov3-tiny-cls,-,classify,80,25,2334176,2334176,5.8,
v5/Segment/yolov5-Lite-e-seg.yaml,yolov5-Lite-e-seg-n,n,segment,80,163,576032,576016,5.8,
v8/yolov8-ghost-p6.yaml,yolov8-ghost-p6-n,n,detect,80,313,2901100,2901084,5.8,
v8/yolov8-ghost.yaml,yolov8-ghost-n,n,detect,80,238,1865316,1865300,5.8,
v5/Detect/yolov5-PPLCNet.yaml,yolov5-PPLCNet-n,n,detect,80,156,2428360,2428344,5.9,
v8/Pose/yolov8-Lite-c-pose.yaml,yolov8-Lite-c-pose-t,t,pose,80,229,1782935,1782919,5.9,
26/Detect/yolo26-p6.yaml,yolo26-p6-n,n,detect,80,349,4063872,4063872,6,
26/yolo26-p6.yaml,yolo26-p6-n,n,detect,80,349,4063872,4063872,6,
Other/StripNet/v8/Detect/yolov8-StripNet-T.yaml,yolov8-StripNet-T-n,n,detect,80,163,1945976,1945960,6,
X/Detect/yoloX-n-lite-c.yaml,yoloX-n-lite-c,-,detect,80,274,1241368,1241352,6,
v11/Detect/yolov11-DiT-C3k2-UIB-CCFM.yaml,yolov11-DiT-C3k2-UIB-CCFM-n,n,detect,80,217,2775424,2775408,6,
v11/Pose/yolov11-SHViT-CCFM-pose.yaml,yolov11-SHViT-CCFM-pose-s,s,pose,80,343,9252931,9252915,6,
v5/Detect/yolov5-Lite-c.yaml,yolov5-Lite-c-s,s,detect,80,226,2018640,2018624,6,
v5/Pose/yolov5-Lite-s-pose.yaml,yolov5-Lite-s-pose-m,m,pose,80,216,1762695,1762679,6,
26/Detect/yolo26.yaml,yolo26-n,n,detect,80,260,2572280,2572280,6.1,
26/yolo26.yaml,yolo26-n,n,detect,80,260,2572280,2572280,6.1,
X/OBB/yoloX-n-lite-c-obb.yaml,yoloX-n-lite-c-obb,-,obb,80,304,1258894,1258878,6.1,
v11/Detect/yolov11-C3k2-OREPA-backbone.yaml,yolov11-C3k2-OREPA-backbone-n,n,detect,80,172,3152432,3152416,6.1,
v11/Detect/yolov11-ConvNeXtv2.yaml,yolov11-ConvNeXtv2-n,n,detect,80,214,2630652,2630636,6.1,
v5/OBB/yolov5-PPLCNet-obb.yaml,yolov5-PPLCNet-obb-n,n,obb,80,171,2500027,2500011,6.1,
v8/Detect/yolov8-Shufflenetv2.yaml,yolov8-Shufflenetv2-s,s,detect,80,149,2010112,2010096,6.1,
v8/Detect/yolov8-VanillaNet.yaml,yolov8-VanillaNet-n,n,detect,80,97,1974016,1974000,6.1,
v11/Detect/yolov11-C3k2-UIB.yaml,yolov11-C3k2-UIB-n,n,detect,80,212,2555392,2555376,6.2,
v11/Detect/yolov11-DiT-C3k2-WTConv-CCFM.yaml,yolov11-DiT-C3k2-WTConv-CCFM-n,n,detect,80,200,2741872,2734688,6.2,
v11/Detect/yolov11-MobileOne.yaml,yolov11-MobileOne-n,n,detect,80,246,2468224,2468208,6.2,
v5/OBB/yolov5-Lite-c-obb.yaml,yolov5-Lite-c-obb-s,s,obb,80,241,2090307,2090291,6.2,
Other/MogaNet/v8/Detect/yolov8-MogaNet-xtiny.yaml,yolov8-MogaNet-xtiny-n,n,detect,80,473,1996908,1996892,6.3,
v11/Detect/yolov11-DiT-CCFM.yaml,yolov11-DiT-CCFM-n,n,detect,80,187,2802576,2802560,6.3,
v11/Detect/yolov11-FDConv.yaml,yolov11-FDConv-n,n,detect,80,205,2633649,2633633,6.3,
v11/Pose/yolov11-C3k2-FasterBlock-C2PSA-SENetV2-CCFM-pose.yaml,yolov11-C3k2-FasterBlock-C2PSA-SENetV2-CCFM-pose-n,n,pose,80,220,1973435,1973419,6.3,
v8/OBB/yolov8-Shufflenetv2-obb.yaml,yolov8-Shufflenetv2-obb-s,s,obb,80,164,2081779,2081763,6.3,
v5/Segment/yolov5-ShuffleAttention-seg.yaml,yolov5-ShuffleAttention-seg-n,n,segment,80,179,2907680,2907664,6.4,
v11/Detect/yolov11-KW_ResNet.yaml,yolov11-KW_ResNet-n,n,detect,80,277,13841464,13841448,6.4,
Other/FasterNet/v8/Detect/yolov8-FasterNet-T1.yaml,yolov8-FasterNet-T1-n,n,detect,80,170,2223664,2223648,6.5,
damoyolo/Detect/DAMOyolo-n.yaml,DAMOyolo-n,-,detect,80,267,2618830,2618814,6.5,
v11/Detect/yolov11-C3k2-ConvNeXtV2Block-BiFPN.yaml,yolov11-C3k2-ConvNeXtV2Block-BiFPN-n,n,detect,80,215,2461689,2461673,6.5,
v11/Detect/yolov11-C3k2-MLLABlock-2-SlimNeck.yaml,yolov11-C3k2-MLLABlock-2-SlimNeck-n,n,detect,80,373,2732880,2732864,6.5,
v11/Detect/yolov11-C3k2-MLLABlock-2.yaml,yolov11-C3k2-MLLABlock-2-n,n,detect,80,267,2547920,2547904,6.5,
v11/Detect/yolov11-C3k2-WTConv.yaml,yolov11-C3k2-WTConv-n,n,detect,80,195,2509712,2499456,6.5,
v11/Detect/yolov11-EfficientNet-OREPA-v10Detect.yaml,yolov11-EfficientNet-OREPA-v10Detect-n,n,detect,80,257,2545100,2545084,6.5,
v11/Detect/yolov11-Mamba.yaml,yolov11-Mamba-n,n,detect,80,263,2530896,2530880,6.5,
v11/Pose/yolov11-C2PSA-MSDA-CCFM-pose.yaml,yolov11-C2PSA-MSDA-CCFM-pose-n,n,pose,80,210,2050459,2050443,6.5,
v11/Pose/yolov11-CCFM-C2PSA-DAT-pose.yaml,yolov11-CCFM-C2PSA-DAT-pose-n,n,pose,80,209,2062747,2062731,6.5,
v11/Pose/yolov11-CCFM-pose.yaml,yolov11-CCFM-pose-n,n,pose,80,207,2035739,2035723,6.5,
v11/Pose/yolov11-MobileOne-BiFPN-Lite-g-ipose.yaml,yolov11-MobileOne-BiFPN-Lite-g-ipose-s,s,pose,80,290,1898471,1898455,6.5,
v11/Pose/yolov11-MobileOne-BiFPN-Lite-g-pose.yaml,yolov11-MobileOne-BiFPN-Lite-g-pose-s,s,pose,80,278,1897655,1897639,6.5,
v13/Detect/yolov13-sn2.yaml,yolov13-sn2-n,n,detect,80,416,2448743,2448727,6.5,
v13/Detect/yolov13.yaml,yolov13-n,n,detect,80,409,2494151,2494135,6.5,
v8/Detect/yolov8-C2f-GhostModule-DynamicConv.yaml,yolov8-C2f-GhostModule-DynamicConv-n,n,detect,80,171,2331328,2331312,6.5,
v8/Detect/yolov8-C2f-OREPA.yaml,yolov8-C2f-OREPA-n,n,detect,80,110,5458704,5458688,6.5,
11/yolo11.yaml,yolo11-n,n,detect,80,182,2624080,2624064,6.6,
12/yolo12.yaml,yolo12-n,n,detect,80,296,2583856,2583840,6.6,
26/yolo26-obb.yaml,yolo26-obb-n,n,obb,80,291,2715614,2715614,6.6,
v10/Detect/yolov10n-C2f-GhostModule.yaml,yolov10n-C2f-GhostModule-n,n,detect,80,261,2208968,2208952,6.6,
v10/Detect/yolov10n-C2f-OREPA.yaml,yolov10n-C2f-OREPA-n,n,detect,80,206,4368928,4368912,6.6,
v11/Detect/yolov11-BCN.yaml,yolov11-BCN-n,n,detect,80,183,2624768,2624752,6.6,
v11/Detect/yolov11-BiFPN.yaml,yolov11-BiFPN-n,n,detect,80,182,2624089,2624073,6.6,
v11/Detect/yolov11-C2PSA-Agent.yaml,yolov11-C2PSA-Agent-n,n,detect,80,183,2679808,2679792,6.6,
v11/Detect/yolov11-C2PSA-CGA.yaml,yolov11-C2PSA-CGA-n,n,detect,80,193,2596980,2596964,6.6,
v11/Detect/yolov11-C2PSA-DAT.yaml,yolov11-C2PSA-DAT-n,n,detect,80,184,2651088,2651072,6.6,
v11/Detect/yolov11-C2PSA-KS.yaml,yolov11-C2PSA-KS-n,n,detect,80,189,2610646,2610630,6.6,
v11/Detect/yolov11-C3k2-FasterBlock-OREPA-v10Detect.yaml,yolov11-C3k2-FasterBlock-OREPA-v10Detect-n,n,detect,80,231,4627056,4627040,6.6,
v11/Detect/yolov11-SlimNeck.yaml,yolov11-SlimNeck-n,n,detect,80,316,2774480,2774464,6.6,
v11/Detect/yolov11-sn2.yaml,yolov11-sn2-n,n,detect,80,189,2578672,2578656,6.6,
v11/Detect/yolov11.yaml,yolov11-n,n,detect,80,182,2624080,2624064,6.6,
v11/Pose/yolov11-C2PSA-DiT-C3k2-WTConv-CCFM-pose.yaml,yolov11-C2PSA-DiT-C3k2-WTConv-CCFM-pose-n,n,pose,80,225,2220539,2213355,6.6,
v12/Detect/yolov12.yaml,yolov12-n,n,detect,80,296,2583856,2583840,6.6,
v8/Detect/yolov8-Lite-c.yaml,yolov8-Lite-c-s,s,detect,80,214,2294736,2294720,6.6,
alss-yolo/Detect/alss-yolo-n.yaml,alss-yolo-n-n,n,detect,80,139,1562075,1562059,6.6,
Other/MogaNet/v8/Detect/yolov8-MogaNet-tiny.yaml,yolov8-MogaNet-tiny-n,n,detect,80,515,2161242,2161226,6.7,
damoyolo/OBB/DAMOyolo-n-obb.yaml,DAMOyolo-n-obb,-,obb,80,282,2690497,2690481,6.7,
v10/Detect/yolov10n-C2f-CSPPC.yaml,yolov10n-C2f-CSPPC-n,n,detect,80,207,2164416,2164400,6.7,
v11/Detect/yolov11-C2PSA_HV_LCA.yaml,yolov11-C2PSA_HV_LCA-n,n,detect,80,185,2784802,2784786,6.7,
v11/Detect/yolov11-C2PSA_HV_LCA_DynamicTanh.yaml,yolov11-C2PSA_HV_LCA_DynamicTanh-n,n,detect,80,186,2784807,2784791,6.7,
v11/Detect/yolov11-C3K2-DiTBlock.yaml,yolov11-C3K2-DiTBlock-n,n,detect,80,191,2661712,2661696,6.7,
v11/Detect/yolov11-EMO.yaml,yolov11-EMO-n,n,detect,80,583,2456832,2456816,6.7,
v11/Detect/yolov11-GroupMixFormer.yaml,yolov11-GroupMixFormer-n,n,detect,80,758,7155282,7155266,6.7,
v12/Pose/yolov12-CCFM-pose.yaml,yolov12-CCFM-pose-n,n,pose,80,321,2028091,2028075,6.7,
v5/Detect/yolov5-CCFM.yaml,yolov5-CCFM-n,n,detect,80,167,1811040,1811024,6.7,
v5/Detect/yolov5-MobileOne-Lite-g.yaml,yolov5-MobileOne-Lite-g-s,s,detect,80,218,1721632,1721616,6.7,
v5/Segment/yolov5-Shufflenetv2-seg.yaml,yolov5-Shufflenetv2-seg-n,n,segment,80,183,990048,990032,6.7,
Other/FasterNet/v8/Detect/yolov8-FasterNet-T0.yaml,yolov8-FasterNet-T0-n,n,detect,80,170,2033872,2033856,6.8,
v11/Detect/yolov11-C2PSA-DiT.yaml,yolov11-C2PSA-DiT-n,n,detect,80,187,2869584,2869568,6.8,
v11/Detect/yolov11-LWGANet.yaml,yolov11-LWGANet-n,n,detect,80,451,4619570,4619554,6.8,
v4/Classify/yolov4-p6-cls.yaml,yolov4-p6-cls-n,n,classify,80,132,3415016,3415016,6.8,
v8/Detect/yolov8-C2f-REPVGGOREPA.yaml,yolov8-C2f-REPVGGOREPA-n,n,detect,80,210,5463696,5463680,6.8,
v8/Detect/yolov8-Faster-Block-CGLU.yaml,yolov8-Faster-Block-CGLU-n,n,detect,80,160,2349204,2349188,6.8,
v8/Segment/yolov8-Shufflenetv2-seg.yaml,yolov8-Shufflenetv2-seg-n,n,segment,80,171,1058976,1058960,6.8,
alss-yolo/OBB/alss-yolo-n-obb.yaml,alss-yolo-n-obb-n,n,obb,80,154,1588748,1588732,6.8,
11/yolo11-obb.yaml,yolo11-obb-n,n,obb,80,197,2695747,2695731,6.9,
12/yolo12-obb.yaml,yolo12-obb-n,n,obb,80,311,2655523,2655507,6.9,
v10/Detect/yolov10n-BiFPN.yaml,yolov10n-BiFPN-n,n,detect,80,197,2152620,2152604,6.9,
